variable activity subject mean
tBodyAccMeanX WALKING 1 0.277330758736842
tBodyAccMeanX WALKING 2 0.276426586440678
tBodyAccMeanX WALKING 3 0.275567462068966
tBodyAccMeanX WALKING 4 0.278582015166667
tBodyAccMeanX WALKING 5 0.27784234625
tBodyAccMeanX WALKING 6 0.283658868070175
tBodyAccMeanX WALKING 7 0.275592961754386
tBodyAccMeanX WALKING 8 0.27468631
tBodyAccMeanX WALKING 9 0.278502842115385
tBodyAccMeanX WALKING 10 0.278574076603774
tBodyAccMeanX WALKING 11 0.271821892881356
tBodyAccMeanX WALKING 12 0.2771286656
tBodyAccMeanX WALKING 13 0.275883130350877
tBodyAccMeanX WALKING 14 0.271959598644068
tBodyAccMeanX WALKING 15 0.273899207962963
tBodyAccMeanX WALKING 16 0.276023564509804
tBodyAccMeanX WALKING 17 0.272341855245902
tBodyAccMeanX WALKING 18 0.273887758571429
tBodyAccMeanX WALKING 19 0.273931172307692
tBodyAccMeanX WALKING 20 0.272589336470588
tBodyAccMeanX WALKING 21 0.279183526730769
tBodyAccMeanX WALKING 22 0.27886459
tBodyAccMeanX WALKING 23 0.273211884237288
tBodyAccMeanX WALKING 24 0.276980816034483
tBodyAccMeanX WALKING 25 0.278992759054054
tBodyAccMeanX WALKING 26 0.279264443728814
tBodyAccMeanX WALKING 27 0.276849485438596
tBodyAccMeanX WALKING 28 0.281228223888889
tBodyAccMeanX WALKING 29 0.271999916792453
tBodyAccMeanX WALKING 30 0.276406758
tBodyAccMeanX WALKING_UPSTAIRS 1 0.255461689622641
tBodyAccMeanX WALKING_UPSTAIRS 2 0.247164790395833
tBodyAccMeanX WALKING_UPSTAIRS 3 0.260819873067797
tBodyAccMeanX WALKING_UPSTAIRS 4 0.270876696730769
tBodyAccMeanX WALKING_UPSTAIRS 5 0.268459469914894
tBodyAccMeanX WALKING_UPSTAIRS 6 0.268229355098039
tBodyAccMeanX WALKING_UPSTAIRS 7 0.248706923078431
tBodyAccMeanX WALKING_UPSTAIRS 8 0.258880152048781
tBodyAccMeanX WALKING_UPSTAIRS 9 0.262436475714286
tBodyAccMeanX WALKING_UPSTAIRS 10 0.267121853404255
tBodyAccMeanX WALKING_UPSTAIRS 11 0.263775859277778
tBodyAccMeanX WALKING_UPSTAIRS 12 0.272970338653846
tBodyAccMeanX WALKING_UPSTAIRS 13 0.258203939581818
tBodyAccMeanX WALKING_UPSTAIRS 14 0.26242106612963
tBodyAccMeanX WALKING_UPSTAIRS 15 0.270187595833333
tBodyAccMeanX WALKING_UPSTAIRS 16 0.255986102627451
tBodyAccMeanX WALKING_UPSTAIRS 17 0.252604768583333
tBodyAccMeanX WALKING_UPSTAIRS 18 0.265401201896552
tBodyAccMeanX WALKING_UPSTAIRS 19 0.242118808925
tBodyAccMeanX WALKING_UPSTAIRS 20 0.252098317156863
tBodyAccMeanX WALKING_UPSTAIRS 21 0.265194544680851
tBodyAccMeanX WALKING_UPSTAIRS 22 0.248391534566667
tBodyAccMeanX WALKING_UPSTAIRS 23 0.249995171031373
tBodyAccMeanX WALKING_UPSTAIRS 24 0.269881106779661
tBodyAccMeanX WALKING_UPSTAIRS 25 0.277995411384615
tBodyAccMeanX WALKING_UPSTAIRS 26 0.272691394545455
tBodyAccMeanX WALKING_UPSTAIRS 27 0.265770253921569
tBodyAccMeanX WALKING_UPSTAIRS 28 0.262005841764706
tBodyAccMeanX WALKING_UPSTAIRS 29 0.265423066877551
tBodyAccMeanX WALKING_UPSTAIRS 30 0.271415642261538
tBodyAccMeanX WALKING_DOWNSTAIRS 1 0.289188320408163
tBodyAccMeanX WALKING_DOWNSTAIRS 2 0.27761534806383
tBodyAccMeanX WALKING_DOWNSTAIRS 3 0.292423484693878
tBodyAccMeanX WALKING_DOWNSTAIRS 4 0.279965329555556
tBodyAccMeanX WALKING_DOWNSTAIRS 5 0.29354392712766
tBodyAccMeanX WALKING_DOWNSTAIRS 6 0.277045258145833
tBodyAccMeanX WALKING_DOWNSTAIRS 7 0.28030708
tBodyAccMeanX WALKING_DOWNSTAIRS 8 0.283484089210526
tBodyAccMeanX WALKING_DOWNSTAIRS 9 0.295923445
tBodyAccMeanX WALKING_DOWNSTAIRS 10 0.290401594315789
tBodyAccMeanX WALKING_DOWNSTAIRS 11 0.291605631956522
tBodyAccMeanX WALKING_DOWNSTAIRS 12 0.281521097391304
tBodyAccMeanX WALKING_DOWNSTAIRS 13 0.294907553404255
tBodyAccMeanX WALKING_DOWNSTAIRS 14 0.293422115555556
tBodyAccMeanX WALKING_DOWNSTAIRS 15 0.280198851190476
tBodyAccMeanX WALKING_DOWNSTAIRS 16 0.295586802191489
tBodyAccMeanX WALKING_DOWNSTAIRS 17 0.29391828326087
tBodyAccMeanX WALKING_DOWNSTAIRS 18 0.288439468909091
tBodyAccMeanX WALKING_DOWNSTAIRS 19 0.262688053871795
tBodyAccMeanX WALKING_DOWNSTAIRS 20 0.296144421355556
tBodyAccMeanX WALKING_DOWNSTAIRS 21 0.3014610196
tBodyAccMeanX WALKING_DOWNSTAIRS 22 0.284458963861111
tBodyAccMeanX WALKING_DOWNSTAIRS 23 0.289897411148148
tBodyAccMeanX WALKING_DOWNSTAIRS 24 0.288631208909091
tBodyAccMeanX WALKING_DOWNSTAIRS 25 0.291329666206897
tBodyAccMeanX WALKING_DOWNSTAIRS 26 0.2792845828
tBodyAccMeanX WALKING_DOWNSTAIRS 27 0.2975441875
tBodyAccMeanX WALKING_DOWNSTAIRS 28 0.293642076521739
tBodyAccMeanX WALKING_DOWNSTAIRS 29 0.293140441083333
tBodyAccMeanX WALKING_DOWNSTAIRS 30 0.283190646967742
tBodyAccMeanX SITTING 1 0.261237565425532
tBodyAccMeanX SITTING 2 0.27708735173913
tBodyAccMeanX SITTING 3 0.257197599134615
tBodyAccMeanX SITTING 4 0.27153827992
tBodyAccMeanX SITTING 5 0.273694139545455
tBodyAccMeanX SITTING 6 0.276778487454545
tBodyAccMeanX SITTING 7 0.284674637291667
tBodyAccMeanX SITTING 8 0.267491472934783
tBodyAccMeanX SITTING 9 0.24832674354
tBodyAccMeanX SITTING 10 0.270612056481481
tBodyAccMeanX SITTING 11 0.276590197358491
tBodyAccMeanX SITTING 12 0.275007224901961
tBodyAccMeanX SITTING 13 0.274328499591837
tBodyAccMeanX SITTING 14 0.279990577037037
tBodyAccMeanX SITTING 15 0.27290337979661
tBodyAccMeanX SITTING 16 0.280768574492754
tBodyAccMeanX SITTING 17 0.2773570196875
tBodyAccMeanX SITTING 18 0.27727001877193
tBodyAccMeanX SITTING 19 0.273830316164384
tBodyAccMeanX SITTING 20 0.278045439090909
tBodyAccMeanX SITTING 21 0.277539616823529
tBodyAccMeanX SITTING 22 0.273583822709677
tBodyAccMeanX SITTING 23 0.273351251617647
tBodyAccMeanX SITTING 24 0.273475690147059
